	true
60	столица тот подобный скифский государство куда ходить александр македонский наполеон неожиданно для весь и противно как стратегический так и дипломатический соображение приказать наступление и на другой день войско он стать переходить неман
61	12 го число рано утром он выйти из палатка раскинуть в этот день на крутой левый берег неман и смотреть в зрительный труба на выплывать из вильковисский леса поток свой войско разливаться по три мост навести на неман
62	войско знать о присутствие император искать он глаз и когда находить на горе перед палатка отделиться от свита фигура в сюртук и шляпа они кидать вверх шапка кричать vive l empereur
63	6 да здравствовать император
64	и один за другой не истощаться вытекать весь вытекать из огромный скрывать они доселе леса и растрояться по три мост переходить на тот сторона
65	on fera du chemin cette fois ci
66	oh
67	quand il s en m 234 le lui m 234 me 231 a chauffe nom de dieu le voil 224
68	vive l empereur
69	les voil 224 donc les steppes de l asie
70	vilain pays tout de m 234 me
71	au revoir beauch 233 je te r 233 serve le plus beau palais de moscou
72	au revoir
73	bonne chance l as tu vu l empereur
74	vive l empereur
75	preur
76	si on me fait gouverneur aux indes g 233 rard je te fais ministre du cachemire c est arr 234 t 233
77	vive l empereur
78	vive
79	vive
80	vive
81	les gredins de cosaques comme ils filent
82	vive l empereur
83	le voil 224
84	le vois tu
85	je l ai vu deux fois comme je te vois
86	le petit caporal je l ai vu donner la croix 224 l un des vieux vive l empereur
87	7 теперь походить
88	о
89	как он сам взяться дело закипеть
90	она бог вот он ура император
91	так вот они азиатский степь однако скверный страна
92	до свидание бош
93	я ты оставить хороший дворец в москва
94	до свидание желать успех
95	видеть император
96	ура
97	ежели я сделать губернатор в индия я ты сделать министр кашмир ура
98	император вот он
99	видеть он
100	я он два раз как ты видеть
101	маленький капрал я видеть как он навесить крест один из старик ура император
102	говорить голос старое и молодая человек самый разнообразный характер и положение в общество
103	на весь лицо этот человек быть один общий выражение радость о начало давно ожидать поход и восторг и преданность к человек в серый сюртук стоять на горе
104	13 го июнь наполеон подать небольшой чистокровный арабский лошадь и он сесть и поехать галопом к один из мост через неман непрестанно оглушать восторженный крик который он очевидно переносить только потому что нельзя быть запретить имя крик этот выражать свой любовь к он но крик этот сопутствующий он везде тяготить он и отвлекать он от военный забота охватить он с тот время как он присоединиться к войско
105	он проехать по один из качаться на лодка мост на тот сторона круто повернуть влево и галопом поехать по направление к ковный предшествовать замирать от счастие восторженный гвардейский конный егерь расчищать дорога по войско скакать впереди он
106	подъехать к широкий река вилий он остановиться подле польский уланский полка стоять на берег
107	виват
108	также восторженно кричать поляк расстроивать фронт и давить друг друг для тот чтобы увидать он
109	наполеон осмотреть река слеза с лошадь и сесть на бревно лежать на берег
110	по бессловесный знак он подать труба он положить она на спин подбежать счастливый паж и стать смотреть на тот сторона
111	потом он углубиться в рассматривание лист карта разложить между бревно
112	не поднимать голов он сказать что то и двое он адъютант поскакать к польский улан
113	что
114	что он сказать
115	слышаться в ряд польский улан когда один адъютант подскакать к он
116	быть приказать отыскать брод перейти на тот сторона
117	польский уланский полковник красивый старый человек раскраснеться и путаться в слово от волнение спросить у адъютант позволить ли он быть переплыть с свой улан река не отыскивать брод
118	он с очевидный страх за отказ как мальчик который просить позволение сесть на лошадь просить чтобы он позволить переплыть река в глаз император
119	адъютант сказать что вероятно император не быть недовольный это излишний усердие
120	как только адъютант сказать это старый усатый офицер с счастливый лицо и блестящий глаз поднять кверху сабля прокричать виват
121	и скомандовать улан следовать за себя дать шпор лошадь и подскакать к река
122	он злобно толкнуть замяться под себя лошадь и бухнуться в вода направляться в глубь к быстрина течение
123	сотня уланов поскакать за он
124	быть холодный и жутко на середина и на быстрина течение
125	улан цепляться друг за друг сваливаться с лошадь лошадь некоторый тонуть тонуть и человек остальной стараться плыть кто на седло кто держаться за грива
126	они стараться плыть вперёд на тот сторона и несмотря на то что за полверста быть переправа гордиться тем что они плыть и тонуть в этот река под взгляд человек сидеть на бревно и даже не смотреть на то что они делать
127	когда вернуться адъютант выбрать удобный минута позволить себя обратить внимание император на преданность поляков к он особа маленький человек в серый сюртук встать и подозвать к себя бертие стать ходить с он взад и вперёд по берег отдавать он приказание и изредка недовольный взглядывать на тонуть улан развлекать он внимание
128	для он быть не ново убеждение в тот что присутствие он на весь конец мир от африка до степь московия одинаково поражать и повергать человек в безумие самозабвение
129	он велеть подать себя лошадь и поехать в свой стоянка
130	человек сорок улан потонуть в река несмотря на выслать на помощь лодка
131	большинство прибиться назад к это берег
132	полковник и несколько человек переплыть река и с труд вылезти на тот берег
133	но как только они вылезти в обшлёпнуться на они стекать ручей мокрый платье они закричать виват
134	восторженно глядеть на то место где стоялый наполеон но где он уже не быть и в тот минута считать себя счастливый
135	ввечеру наполеон между два распоряжение один о тот чтобы как можно скорее доставить заготовить фальшивый русский ассигнация для ввоз в россия и другой о тот чтобы расстрелять саксонец в перехватить письмо который найти сведение о распоряжение по французский армия сделать третье распоряжение о причисление броситься без нужда в река польский полковник к когорта честь l 233 gion d honneur который наполеон быть главый
136	quos vult perdere dementat
137	8 кто хотеть погубить лишить разум лата
138	
139	iii русский император между тем более месяц уже жить в вильно делать смотр и манёвр
140	ничто не быть готовый для война который весь ожидать и для приготовление к который император приехать из петербург
141	общий план действие не быть
142	колебание о тот какой план из весь тот который предлагаться должный быть принять только ещё более усилиться после месячный пребывание император в главный квартира
143	в три армия быть в каждый отдельный главнокомандующий c_3 но общий начальник над весь армия не быть и император не принимать на себя это звание
144	чем долгий жить император в вильно тем менее и менее готовиться к война устать ожидать она
145	весь стремление человек окружать государь казалось быть направить только на то чтобы заставлять государь приятно проводить время забыть о предстоящий война
146	после многий бал и праздник у польский магнат у придворный и у самый государь в июнь месяц один из польский генерал адъютант государь пришлый мысль дать обед и бал государь от лицо он генерал адъютант
147	мысль этот радостно быть принять весь
148	государь изъявить согласие
149	генерал адъютант собрать по подписка деньга
150	особа который наиболее мочь быть приятный государь быть пригласить быть хозяйка бал
151	граф бенигсный помещик виленский губерния предложить свой загородный дом для это праздник и 13 июнь быть назначить обед бал катание на лодка и фейерверк в закрет загородный дом граф бенигсена
152	в тот самый день в который наполеон быть отдать приказ о переход через неман и передовой войско он оттеснить казаков переслать через русский граница александр проводить вечер на дача бенигсена на бал давать генерал адъютант
153	быть весёлый блестящий праздник знаток дело говорить что редко собираться в один место столько красавица
154	графиня безухов в число другой русский дать приехать за государь из петербург в вильнуть быть на это бал затемнять свой тяжёлый так называть русский красота утончённый польский дать
155	она быть заметить и государь удостоить она танец
156	борис друбецкий en gar 231 on холостяк как он говорить оставить свой жена в москва быть также на это бал и хотя не генерал адъютант быть участник на большой сумма в подписка для бал
157	борис теперь быть богатый человек далеко уйти в почесть уже не искать покровительство а на ровный нога стоять с высокий из свой сверстник
158	в двенадцать часы ночь ещё танцевать
159	элен не иметь достойный кавалер сам предложить мазурка борис
160	они сидеть в три пара
161	борис хладнокровно поглядывать на блестящий обнажённый плечо элен выступать из тёмный газовый с золото платье рассказывать про старое знакомый и вместе с тем незаметно для самый себя и для другой ни на секунда не переставать наблюдать государь находиться в тот же зал
162	государь не танцевать он стоялый в дверь и останавливать то тот то другой тот ласковый слово который он один только уметь говорить
163	при начало мазурка борис видеть что генерал адъютант балашева один из ближний лицо к государь подойти к он и непридворный остановиться близко от государь говорить с польский дама
164	поговорить с дама государь взглянуть вопросительно и видно понять что балашева поступить так только потому что на то быть важный причина слегка кивнуть дама и обратиться к балашева
165	только что балашева начать говорить как удивление выразиться на лицо государь
166	он взять под рука балашева и пойти с он через зал бессознательно для себя расчищать с оба сторона сажень на три широкий дорога сторониться перед он
167	борис заметить взволновать лицо аракчеев в то время как государь пойти с балашев
168	аракчеев исподлобья глядеть на государь и посапывать красный нос выдвинуться из толпа как бы ожидать что государь обратиться к он
169	борис понять что аракчеев завидовать балашева и недовольный тем что какой то очевидно важный новость не через он передать государь
170	но государь с балашев пройти не замечать аракчеев через выходной дверь в осветить сад
171	аракчеев придерживать шпага и злобно оглядываться вокруг себя пройти шаг в двадцать за они
172	пока борис продолжать делать фигура мазурка он не переставать мучить мысль о тот какой новость привезти балашева и какой бы образ узнать она прежде другой
173	в фигура где он надо быть выбирать дать шепнуть элен что он хотеть взять графиня потоцкий который кажется выйти на балкон он скользить нога по паркет выбежать в выходной дверь в сад и заметить входящий с балашев на терраса государь приостановиться
174	государь с балашев направляться к дверь
175	борис заторопиться как будто не успеть отодвинуться почтительно прижаться к притолока и нагнуть голова
176	государь с волнение лично оскорбить человек договаривать следующий слово без объявление война вступить в россия
177	я помириться только тогда когда ни один вооружённый неприятель не остаться на мой земля сказать он
178	как показаться борис государь приятно быть высказать этот слово он быть довольный форма выражение свой мысль но быть недовольный тем что борис услыхать они
179	чтоб никто ничто не знать
180	прибавить государь нахмуриться
181	борис понять что это относиться к он и закрыть глаз слегка наклонить голова
182	государь опять войти в зал и ещё около получас пробыть на бал
183	борис один узнать известие о переход французский войско неман и благодаря это иметь случай показать некоторые важный лицо что многий скрытый от другой бывать он известно и через то иметь случай подняться выше в мнение этот особа
184	неожиданный известие о переход француз неман быть особенно неожиданно после месяц несбываться ожидание и на бал
185	государь в один минута получение известие под влияние возмущение и оскорбление найти то сделаться потом знаменитый изречение который самый понравиться он и выражать вполне он чувство
186	возвратиться домой с бал государь в два час ночь послать за секретарь шишков и велеть написать приказ войско и рескрипт к фельдмаршал князь салтыков в который он непременно требовать чтобы быть поместить слово о тот что он не помириться до тот пора пока хотя один вооружённый француз остаться на русский земля
187	на другой день быть написать следующий письмо к наполеон
188	monsieur mon fr 232 re
189	j ai appris hier que malgr 233 la loyaut 233 avec laquelle j ai maintenu mes engagements envers votre majest 233 ses troupes ont franchis les fronti 232 res de la russie et je re 231 ois 224 l instant de pet 233 rsbourg une note par laquelle le comte lauriston pour cause de cette agression annonce que votre majest 233 s est consid 233 r 233 e comme en 233 tat de guerre avec moi d 232 s le moment o 249 le prince kourakine a fait la demande de ses passeports
190	les motifs sur lesquels le duc de bassano fondait son refus de les lui d 233 livrer n auraient jamais pu me faire supposer que cette d 233 marche servirait jamais de pr 233 texte 224 l agression
191	en effet cet ambassadeur n y a jamais 233 t 233 autoris 233 comme il l a d 233 clar 233 lui m 234 me et aussit 244 t que j en fus inform 233 je lui ai fait conna 238 tre combien je le d 233 sapprouvais en lui donnant l ordre de rester 224 son poste
192	si votre majest 233 n est pas intentionn 233 e de verser le sang de nos peuples pour un malentendu de ce genre et qu elle consente 224 retirer ses troupes du territoire russe je regarderai ce qui s est pass 233 comme non avenu et un accommodement entre nous sera possible
193	dans le cas contraire votre majest 233 je me verrai forc 233 de repousser une attaque que rien n a provoqu 233 e de ma part
194	il d 233 pend encore de votre majest 233 d 233 viter 224 l humanit 233 les calamit 233 s d une nouvelle guerre
195	je suis etc
196	sign 233 alexandre
197	9 государь брат мой
198	вчера дошлый до я что несмотря на прямодушие с который соблюдать я мой обязательство в отношение к ваш императорский величество войско ваш переслать русский граница и только лишь теперь получить из петербург нота котора граф лористон извещать я по повод сей вторжение что ваш величество считать себя в неприязненный отношение с я с тот время как князь куракина потребовать свой паспорт c_4
199	причина на который герцог бассано основывать свой отказ выдать сей паспорт никогда не мочь бы заставить я предполагать чтобы поступок мой посол послужить повод к нападение
